"Abbrev","Stat Name","Description","Unit","Pctile Dir","Available In"
"Prior GP, D2","Total Prior Games Played, D2","Total prior-season games played at the Division 2 level, summed across every player on the team's current roster. This includes and counts every player on the roster equally. Only counts games played as a D2 player; prior-season games at D1, D3, or lower levels are excluded from this bucket.","Integer","Highest # = 100th","Team Agg"
"Prior GP, D3","Total Prior Games Played, D3","Total prior-season games played at the Division 3 level, summed across every player on the team's current roster. This includes and counts every player on the roster equally. Only counts games played as a D3 player; prior-season games at D1, D2, or lower levels are excluded from this bucket.","Integer","Highest # = 100th","Team Agg"
"Prior Mins, All Divisions","Total Prior Minutes Played, All Divisions","Total prior-season minutes played, summed across every player on the team's current roster. This includes and counts every player on the roster equally. Includes minutes played in Divisions 1, 2 and 3.","Integer","Highest # = 100th","Team Agg"
"Prior Mins, D1","Total Prior Minutes Played, D1","Total prior-season minutes played at the Division 1 level, summed across every player on the team's current roster. This includes and counts every player on the roster equally. Only counts minutes played as a D1 player; prior-season minutes at D2, D3, or lower levels are excluded from this bucket.","Integer","Highest # = 100th","Team Agg"
"Prior Mins, D2","Total Prior Minutes Played, D2","Total prior-season minutes played at the Division 2 level, summed across every player on the team's current roster. This includes and counts every player on the roster equally. Only counts minutes played as a D2 player; prior-season minutes at D1, D3, or lower levels are excluded from this bucket.","Integer","Highest # = 100th","Team Agg"
"Prior Mins, D3","Total Prior Minutes Played, D3","Total prior-season minutes played at the Division 3 level, summed across every player on the team's current roster. This includes and counts every player on the roster equally. Only counts minutes played as a D3 player; prior-season minutes at D1, D2, or lower levels are excluded from this bucket.","Integer","Highest # = 100th","Team Agg"
"Prior Pts, All Divisions","Total Prior Points Scored, All Divisions","Total prior-season points scored, summed across every player on the team's current roster. This includes and counts every player on the roster equally. Includes points scored in Divisions 1, 2 and 3.","Integer","Highest # = 100th","Team Agg"
"Prior Pts, D1","Total Prior Points Scored, D1","Total prior-season points scored at the Division 1 level, summed across every player on the team's current roster. This includes and counts every player on the roster equally. Only counts points scored as a D1 player; prior-season points at D2, D3, or lower levels are excluded from this bucket.","Integer","Highest # = 100th","Team Agg"
"Prior Pts, D2","Total Prior Points Scored, D2","Total prior-season points scored at the Division 2 level, summed across every player on the team's current roster. This includes and counts every player on the roster equally. Only counts points scored as a D2 player; prior-season points at D1, D3, or lower levels are excluded from this bucket.","Integer","Highest # = 100th","Team Agg"
"Prior Pts, D3","Total Prior Points Scored, D3","Total prior-season points scored at the Division 3 level, summed across every player on the team's current roster. This includes and counts every player on the roster equally. Only counts points scored as a D3 player; prior-season points at D1, D2, or lower levels are excluded from this bucket.","Integer","Highest # = 100th","Team Agg"
"Prior Team Mins","Prior Year Team Minutes","Total minutes the team played last season. Used as the denominator for Returning Minutes Percentage.","Integer","Highest # = 100th","Team Agg"
"PTS H1","PTS H1","Points Scored in 1st Half","Integer","Highest # = 100th","Team Game"
"PTS H2","PTS H2","Points Scored in 2nd Half","Integer","Highest # = 100th","Team Game"
"PTS OT","PTS OT","Points Scored in OT","Integer","Highest # = 100th","Team Game"
"PTS Q1","PTS P1","Points Scored in 1st Period","Integer","Highest # = 100th","Team Game"
"PTS Q2","PTS P2","Points Scored in 2ndPeriod","Integer","Highest # = 100th","Team Game"
"PTS Q3","PTS P3","Points Scored in 3rd Period","Integer","Highest # = 100th","Team Game"
"PTS Q4","PTS P4","Points Scored in 4th Period","Integer","Highest # = 100th","Team Game"
"ptsAgstBox","ptsAgstBox","No description available","-","-","Team Game PBP"
"ptsScoredBox","ptsScoredBox","No description available","-","-","Team Game PBP"
"ptsScoredTm","ptsScoredTm","No description available","-","-","Player Game PBP, Player Game, Player Agg PBP"
"ptsScoredWb","ptsScoredWb","No description available","-","-","Team Game PBP"
"PPR","Pure Point Rating","Pace-adjusted measure of a player's assist-to-turnover ratio, scaled per 100 possessions. Pure Point Rating measures a player's quality as a distributor by balancing the value of an assist against the cost of a turnover. Positive values reflect a player who creates more value through assists than they cost through turnovers. Coined by John Hollinger.","Number","Highest # = 100th","Player Agg"
"PB CHNC","Putback Chances","The total number of chances that came on putbacks.","Integer","Highest # = 100th","Team Agg PBP, Team Game PBP"
"PB PPC","Putback Points / Chance","Total points scored on putbacks divided by the number of putback chances.","num2","Highest # = 100th","Team Agg PBP, Team Game PBP"
"QUAD","Quadrant Against","Quad 1, 2, 3, or 4 Game.","Integer","Lowest # = 100th","Player Game PBP, Team Game, Player Game, Team Game PBP"
"RAPM","RAPM (Regularized Adjusted Plus/Minus)","RAPM (Regularized Adjusted Plus/Minus) is an all-in-one metric we've developed internally here at CBB Analytics. RAPM does not incorporate a player's individual box score statistics, rather it only considers their on-court play-by-play impact. RAPM can be interpreted as a player's impact on their team's point differential per 100 possessions above the division average, accounting for the other 9 players on the court. RAPM is similar to all-in-one statistics developed for the NBA such as RPM, EPM, and LEBRON.","Number","Highest # = 100th","Player Agg"
"RBTV DIFF","Team REBs, TOVs Forced - Opponent REBs, TOVs Forced","The number of rebounds plus turnovers forced by the team minus the number of rebounds plus turnovers forced by the opposing team.","Integer","Highest # = 100th","Team Game, Team Agg"
"REB CHNC","REB Chances","Total combined number of rebounds grabbed by the team and allowed to the opponent.","Integer","Highest # = 100th","Lineup"
"REB DIFF","Rebound Differential","How many more or fewer rebounds the team had compared to their opponent.","Integer","Highest # = 100th","Team Game, Team Agg"
"REB%","Rebound Percentage","An estimate of the percentage of available rebounds a player grabbed while he was on the floor.","Percentage","Highest % = 100th","Player Game PBP, Team Game, Player Agg, Team Agg, Player Game, Lineup, On/Off"
"REB","Rebounds","The total number of rebounds grabbed.","Integer","Highest # = 100th","Team Game, Player Agg, Team Agg, Player Game, Lineup, On/Off"
"REB/100","Rebounds / 100 Poss","An estimate of the number of rebounds per 100 possessions played.","Number","Highest # = 100th","Team Agg, Lineup, On/Off"
"REB/40","Rebounds / 40 Mins","The number of rebounds per 40 minutes played.","Number","Highest # = 100th","Player Agg, Team Agg, Lineup, On/Off"
"REB/G","Rebounds / Game","The number of rebounds per game.","Number","Highest # = 100th","Player Agg, Team Agg"
"rebTm","rebTm","No description available","-","-","Player Agg, Player Game"
"Returner Mins","Current Minutes Played by Returning Players","Sum of current-season minutes played by players who were also on last year's roster (returners).","Integer","Highest # = 100th","Team Agg"
"Returner Mins","Current Mins by Returning Players","Sum of current-season minutes played by players who were also on last year's roster (returners).","Integer","Highest # = 100th","Team Game"
"Returning Mins%","Returning Minutes Percentage","Share of this season's minutes played by returners (players who were also on last year's roster).","Percentage","Highest % = 100th","Team Agg"
"Returning Prior Mins","Returning Player Prior Minutes","Sum of last year's minutes for players still on this year's roster.","Integer","Highest # = 100th","Team Agg"
"RB2 FG%","Right Baseline 2s FG%","Field goal percentage on right baseline 2-pointers.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"RB2 FGA","Right Baseline 2s FGA","Field goal attempts on right baseline 2-pointers.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"RB2 FGA/100","Right Baseline 2s FGA / 100 Poss","Field goal attempts on right baseline 2-pointers per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"RB2 FGA/40","Right Baseline 2s FGA / 40 Mins","Field goal attempts on right baseline 2-pointers per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"RB2 FGA/G","Right Baseline 2s FGA / Game","Field goal attempts on right baseline 2-pointers per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"RB2 FGA%","Right Baseline 2s FGA%","Percentage of shots taken as right baseline 2-pointers.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"RB2 FGM","Right Baseline 2s FGM","Field goals made on right baseline 2-pointers.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"RC3 FG%","Right Corner 3s FG%","Field goal percentage on right corner 3-pointers.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"RC3 FGA","Right Corner 3s FGA","Field goal attempts on right corner 3-pointers.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"RC3 FGA/100","Right Corner 3s FGA / 100 Poss","Field goal attempts on right corner 3-pointers per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"RC3 FGA/40","Right Corner 3s FGA / 40 Mins","Field goal attempts on right corner 3-pointers per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"RC3 FGA/G","Right Corner 3s FGA / Game","Field goal attempts on right corner 3-pointers per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"RC3 FGA%","Right Corner 3s FGA%","Percentage of shots taken as right corner 3-pointers.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"RC3 FGM","Right Corner 3s FGM","Field goals made on right corner 3-pointers.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"RE2 FG%","Right Elbow 2s FG%","Field goal percentage on right elbow 2-pointers.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"RE2 FGA","Right Elbow 2s FGA","Field goal attempts on right elbow 2-pointers.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"RE2 FGA/100","Right Elbow 2s FGA / 100 Poss","Field goal attempts on right elbow 2-pointers per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"RE2 FGA/40","Right Elbow 2s FGA / 40 Mins","Field goal attempts on right elbow 2-pointers per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"RE2 FGA/G","Right Elbow 2s FGA / Game","Field goal attempts on right elbow 2-pointers per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"RE2 FGA%","Right Elbow 2s FGA%","Percentage of shots taken as right elbow 2-pointers.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"RE2 FGM","Right Elbow 2s FGM","Field goals made on right elbow 2-pointers.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"RW3 FG%","Right Wing 3s FG%","Field goal percentage on right wing 3-pointers.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"RW3 FGA","Right Wing 3s FGA","Field goal attempts on right wing 3-pointers.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"RW3 FGA/100","Right Wing 3s FGA / 100 Poss","Field goal attempts on right wing 3-pointers per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"RW3 FGA/40","Right Wing 3s FGA / 40 Mins","Field goal attempts on right wing 3-pointers per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"RW3 FGA/G","Right Wing 3s FGA / Game","Field goal attempts on right wing 3-pointers per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"RW3 FGA%","Right Wing 3s FGA%","Percentage of shots taken as right wing 3-pointers.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"RW3 FGM","Right Wing 3s FGM","Field goals made on right wing 3-pointers.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"RIM+PAINT aFGM","At Rim + In The Paint Assisted FGM","The total number of assisted shots made in the paint (including shots at the rim) by the player.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"RIM+PAINT aFGM/100","At Rim + In The Paint Assisted FGM / 100","The total number of assisted shots made in the paint (including shots at the rim) by the player, per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"RIM+PAINT aFGM/40","At Rim + In The Paint Assisted FGM / 40","The total number of assisted shots made in the paint (including shots at the rim) by the player, per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"RIM+PAINT aFGM/G","At Rim + In The Paint Assisted FGM / Game","The total number of assisted shots made in the paint (including shots at the rim) by the player, per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"RIM+PAINT ASTD%","At Rim + In The Paint Assisted Pct","The percentage of shots made in the paint (including shots at the rim) that were assisted.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"RIM+PAINT AST","At Rim + In The Paint Assists","The total number of assists where the shooter scored in the paint (including shots at the rim).","Integer","Highest # = 100th","Player Game PBP, Player Agg PBP"
"RIM+PAINT FG%","At Rim + In The Paint FG%","Field goal percentage on shots taken in the paint (including shots at the rim).","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"RIM+PAINT FGA","At Rim + In The Paint FGA","The total number of field goal attempts on shots taken in the paint (including shots at the rim).","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"RIM+PAINT FGA/100","At Rim + In The Paint FGA / 100 Poss","Field goal attempts on shots taken in the paint (including shots at the rim) per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"RIM+PAINT FGA/40","At Rim + In The Paint FGA / 40 Mins","Field goal attempts on shots taken in the paint (including shots at the rim) per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"RIM+PAINT FGA/G","At Rim + In The Paint FGA / Game","Field goal attempts on shots taken in the paint (including shots at the rim) per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"RIM+PAINT FGA%","At Rim + In The Paint FGA%","Percentage of shots taken in the paint (including shots at the rim).","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"RIM+PAINT FGM","At Rim + In The Paint FGM","The total number of field goals made on shots taken in the paint (including shots at the rim).","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"RIM+PAINT uFGM","At Rim + In The Paint Unassisted FGM","The total number of unassisted shots made in the paint (including shots at the rim) by the player.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"RIM+PAINT AST/40","At Rim + In The Paints Assists / 40 Mins","The total number of assists per 40 minutes where the shooter scored in the paint (including shots at the rim).","Number","Highest # = 100th","Player Game PBP, Player Agg PBP"
"rim3sAstPg","rim3sAstPg","No description available","-","-","Player Agg PBP"
"secs","secs","No description available","-","-","Lineup, On/Off"
"secsCutoffPctile","secsCutoffPctile","No description available","-","-","Lineup"
"Self ORB%","Self Offensive Rebound Percentage","The percentage of the player's own missed field goals that they offensive-rebounded.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"Self ORB","Self Offensive Rebounds","Offensive rebounds where the player grabs their own missed field goal.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"Self ORB CHNC","Self Offensive Rebound Chances","Total field goals missed by the player (FGA minus FGM). Each miss is a chance for the player to rebound their own shot.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"Self ORB FGA","Putback FGA After Self ORB","The total number of putback shots taken after the player rebounds their own missed field goal. A putback is a shot taken within 3 seconds of the rebound and 8 feet of the rim.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"Self ORB FGM","Putback FGM After Self ORB","The total number of putback shots made after the player rebounds their own missed field goal. A putback is a shot taken within 3 seconds of the rebound and 8 feet of the rim.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"Self ORB Share","Share of ORebs From Own Miss","Percentage of the player's total offensive rebounds that come from rebounding their own missed shot.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"Self ORB/100","Self Offensive Rebounds / 100 Poss","The number of offensive rebounds of own missed field goals per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP"
"Self ORB/40","Self Offensive Rebounds / 40 Mins","The number of offensive rebounds of own missed field goals per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"Self ORB/G","Self Offensive Rebounds / Game","The number of offensive rebounds of own missed field goals per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"Sr Mins%","Senior Minutes Percentage","Share of total team minutes played by seniors on the roster.","Percentage","Highest % = 100th","Team Game, Team Agg"
"Sr Mins","Senior Minutes","Total minutes played by seniors on the roster.","Integer","Highest # = 100th","Team Game, Team Agg"
"Sr Mins/G","Senior Minutes / Game","Average minutes per game played by seniors on the roster.","Number","Highest # = 100th","Team Agg"
"Sr Pts","Senior Points","Total points scored by seniors on the roster.","Integer","Highest # = 100th","Team Game, Team Agg"
"Sr Pts/G","Senior Points Scored / Game","Points per game scored by seniors on the roster.","Number","Highest # = 100th","Team Agg"
"Sr Pts%","Senior Points Percentage","Share of total team points scored by seniors on the roster.","Percentage","Highest % = 100th","Team Game, Team Agg"
"SFL","Shooting Fouls Committed","The total number of shooting fouls committed.","Integer","Lowest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"sfl2Pts","sfl2Pts","No description available","-","-","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"sfl3Pts","sfl3Pts","No description available","-","-","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"sflAnd1","sflAnd1","No description available","-","-","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"SFLD%","Shooting Fouled Percentage","The percentage of shot attempts where a shooting foul was drawn.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"SFLD","Shooting Fouls Drawn","The total number of shooting fouls drawn.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"SFLD/100","Shooting Fouls Drawn / 100 Poss","The number of shooting fouls drawn per 100 possessions.","Number","Highest # = 100th","Team Agg PBP"
"SFLD/40","Shooting Fouls Drawn / 40 Mins","The number of shooting fouls drawn per 40 minutes.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"SFLD/G","Shooting Fouls Drawn / Game","The number of shooting fouls drawn per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"SFL/100","Shooting Fouls Committed / 100 Poss","The total number of shooting fouls committed per 100 possessions.","Number","Lowest # = 100th","Team Agg PBP"
"SFL/40","Shooting Fouls Committed / 40 Mins","The total number of shooting fouls committed per 40 minutes.","Number","Lowest # = 100th","Team Agg PBP, Player Agg PBP"
"SFL/Game","Shooting Fouls Committed / Game","The total number of shooting fouls committed per game.","Number","Lowest # = 100th","Team Agg PBP, Player Agg PBP"
"SFL%","Shooting Fouls Committed Percentage","The percentage of possessions where a shooting foul was committed.","Percentage","Lowest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"SHT2 FG%","Short Distance 2s FG%","Field goal percentage on 4-10 foot 2-pointers.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"SHT2 FGA","Short Distance 2s FGA","Field goal attempts on 4-10 foot 2-pointers.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"SHT2 FGA/100","Short Distance 2s FGA / 100 Poss","Field goal attempts on 4-10 foot 2-pointers per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"SHT2 FGA/40","Short Distance 2s FGA / 40 Mins","Field goal attempts on 4-10 foot 2-pointers per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"SHT2 FGA/G","Short Distance 2s FGA / Game","Field goal attempts on 4-10 foot 2-pointers per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"SHT2 FGA%","Short Distance 2s FGA%","Percentage of shots taken as 4-10 foot 2-pointers.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"SHT2 FGM","Short Distance 2s FGM","Field goals made on 4-10 foot 2-pointers.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"SHT3 FG%","Short Distance 3s FG%","Field goal percentage on under 25-foot 3-pointers.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"SHT3 FGA","Short Distance 3s FGA","Field goal attempts on under 25-foot 3-pointers.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"SHT3 FGA/100","Short Distance 3s FGA / 100 Poss","Field goal attempts on under 25-foot 3-pointers per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"SHT3 FGA/40","Short Distance 3s FGA / 40 Mins","Field goal attempts on under 25-foot 3-pointers per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"SHT3 FGA/G","Short Distance 3s FGA / Game","Field goal attempts on under 25-foot 3-pointers per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"SHT3 FGA%","Short Distance 3s FGA%","Percentage of shots taken as under 25-foot 3-pointers.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"SHT3 FGM","Short Distance 3s FGM","Field goals made on under 25-foot 3-pointers.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"SLP2 FG%","Short Left Paint 2s FG%","Field goal percentage on short left paint 2-pointers.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"SLP2 FGA","Short Left Paint 2s FGA","Field goal attempts on short left paint 2-pointers.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"SLP2 FGA/100","Short Left Paint 2s FGA / 100 Poss","Field goal attempts on short left paint 2-pointers per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"SLP2 FGA/40","Short Left Paint 2s FGA / 40 Mins","Field goal attempts on short left paint 2-pointers per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"SLP2 FGA/G","Short Left Paint 2s FGA / Game","Field goal attempts on short left paint 2-pointers per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"SLP2 FGA%","Short Left Paint 2s FGA%","Percentage of shots taken as short left paint 2-pointers.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"SLP2 FGM","Short Left Paint 2s FGM","Field goals made on short left paint 2-pointers.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"SRP2 FG%","Short Right Paint 2s FG%","Field goal percentage on short right paint 2-pointers.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"SRP2 FGA","Short Right Paint 2s FGA","Field goal attempts on short right paint 2-pointers.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"SRP2 FGA/100","Short Right Paint 2s FGA / 100 Poss","Field goal attempts on short right paint 2-pointers per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"SRP2 FGA/40","Short Right Paint 2s FGA / 40 Mins","Field goal attempts on short right paint 2-pointers per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"SRP2 FGA/G","Short Right Paint 2s FGA / Game","Field goal attempts on short right paint 2-pointers per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"SRP2 FGA%","Short Right Paint 2s FGA%","Percentage of shots taken as short right paint 2-pointers.","Percentage","Highest % = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"SRP2 FGM","Short Right Paint 2s FGM","Field goals made on short right paint 2-pointers.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"SHOT ATT","Shot Attempts (inc SFLs)","The number of field goal attempts plus shooting fouls drawn on missied shots. Effectively, the number of shot attempts by the player.","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"TOV SHOT CLOCK","Shot Clock Violation","The total number of turnovers tagged by the scorer as a shot clock violation by the team.","Integer","Lowest # = 100th","Team Agg PBP, Team Game PBP"
"So Mins%","Sophomore Minutes Percentage","Share of total team minutes played by sophomores on the roster.","Percentage","Highest % = 100th","Team Game, Team Agg"
"So Mins","Sophomore Minutes","Total minutes played by sophomores on the roster.","Integer","Highest # = 100th","Team Game, Team Agg"
"So Mins/G","Sophomore Minutes / Game","Average minutes per game played by sophomores on the roster.","Number","Highest # = 100th","Team Agg"
"So Pts","Sophomore Points","Total points scored by sophomores on the roster.","Integer","Highest # = 100th","Team Game, Team Agg"
"So Pts/G","Sophomore Points Scored / Game","Points per game scored by sophomores on the roster.","Number","Highest # = 100th","Team Agg"
"So Pts%","Sophomore Points Percentage","Share of total team points scored by sophomores on the roster.","Percentage","Highest % = 100th","Team Game, Team Agg"
"Starter Mins","Starter Minutes","Total minutes played by starters across the scope.","Integer","Highest # = 100th","Team Game, Team Agg"
"Starter Mins/G","Starter Minutes / Game","Average minutes per game played by starters.","Number","Highest # = 100th","Team Agg"
"Starter Mins%","Starter Minutes Percentage","Share of total team minutes played by starters.","Percentage","Highest % = 100th","Team Game, Team Agg"
"Starter Pts","Starter Points","Total points scored by starters across the scope.","Integer","Highest # = 100th","Team Game, Team Agg"
"Starter Pts/G","Starter Points / Game","Average points per game scored by starters.","Number","Highest # = 100th","Team Agg"
"Starter Pts%","Starter Points Percentage","Share of total team points scored by starters.","Percentage","Highest % = 100th","Team Game, Team Agg"
"STL%","Steal Percentage","An estimate of the percentage of opponent possessions that end with a steal by the player while he was on the floor.","Percentage","Highest % = 100th","Team Game, Player Agg, Team Agg, Player Game, Team Agg PBP, Lineup, Team Game PBP, On/Off"
"STL","Steals","The total number of steals.","Integer","Highest # = 100th","Player Game PBP, Team Game, Player Agg, Team Agg, Player Game, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off"
"STL/100","Steals / 100 Poss","An estimate of the number of steals per 100 possessions played.","Number","Highest # = 100th","Team Agg, Team Agg PBP, Lineup, On/Off"
"STL/40","Steals / 40 Mins","The number of steals per 40 minutes played.","Number","Highest # = 100th","Player Agg, Team Agg, Team Agg PBP, Player Agg PBP, Lineup, On/Off"
"STL/G","Steals / Game","The number of steals per game.","Number","Highest # = 100th","Player Agg, Team Agg, Team Agg PBP, Player Agg PBP"
"STL/PF","Steals / Personal Foul","The ratio of steals to personal fouls committed by the player.","Ratio","Highest # = 100th","Team Game, Player Agg, Team Agg, Player Game, Lineup, On/Off"
"STL3","Steals Beyond The Arc","The total number of steals by the player beyond the opposing team's 3P line (i.e. in 3P shooting range).","Integer","Highest # = 100th","Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP"
"STL3/100","Steals Beyond The Arc / 100 Poss","The number of steals by the player beyond the opposing team's 3P line (i.e. in 3P shooting range), per 100 possessions played.","Number","Highest # = 100th","Team Agg PBP"
"STL3/40","Steals Beyond The Arc / 40 Mins","The number of steals by the player beyond the opposing team's 3P line (i.e. in 3P shooting range), per 40 minutes played.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
"STL3/G","Steals Beyond The Arc / Game","The number of steals by the player beyond the opposing team's 3P line (i.e. in 3P shooting range), per game.","Number","Highest # = 100th","Team Agg PBP, Player Agg PBP"
